"Participant" "Activity" "Measurement" "Average"
"83" "1" "SITTING" "tBodyAccJerk-std()-Y" "-0.981371965319149"
"84" "1" "SITTING" "tBodyAccJerk-std()-Z" "-0.987910804468085"
"85" "1" "SITTING" "tBodyGyro-mean()-X" "-0.045350056512766"
"86" "1" "SITTING" "tBodyGyro-mean()-Y" "-0.0919241549361702"
"87" "1" "SITTING" "tBodyGyro-mean()-Z" "0.0629313811914894"
"88" "1" "SITTING" "tBodyGyro-std()-X" "-0.977211283191489"
"89" "1" "SITTING" "tBodyGyro-std()-Y" "-0.966473895319149"
"90" "1" "SITTING" "tBodyGyro-std()-Z" "-0.941425920851064"
"91" "1" "SITTING" "tBodyGyroJerk-mean()-X" "-0.0936793807234043"
"92" "1" "SITTING" "tBodyGyroJerk-mean()-Y" "-0.0402118124255319"
"93" "1" "SITTING" "tBodyGyroJerk-mean()-Z" "-0.046702627"
"94" "1" "SITTING" "tBodyGyroJerk-std()-X" "-0.99173159212766"
"95" "1" "SITTING" "tBodyGyroJerk-std()-Y" "-0.989518068510638"
"96" "1" "SITTING" "tBodyGyroJerk-std()-Z" "-0.987935806382979"
"97" "1" "SITTING" "tBodyAccMag-mean()" "-0.948536786170213"
"98" "1" "SITTING" "tBodyAccMag-std()" "-0.927078418723404"
"99" "1" "SITTING" "tGravityAccMag-mean()" "-0.948536786170213"
"100" "1" "SITTING" "tGravityAccMag-std()" "-0.927078418723404"
"101" "1" "SITTING" "tBodyAccJerkMag-mean()" "-0.987364195531915"
"102" "1" "SITTING" "tBodyAccJerkMag-std()" "-0.984120024042553"
"103" "1" "SITTING" "tBodyGyroMag-mean()" "-0.93089249"
"104" "1" "SITTING" "tBodyGyroMag-std()" "-0.934531840425532"
"105" "1" "SITTING" "tBodyGyroJerkMag-mean()" "-0.991976341276596"
"106" "1" "SITTING" "tBodyGyroJerkMag-std()" "-0.988308728510638"
"107" "1" "SITTING" "fBodyAcc-mean()-X" "-0.979641238723404"
"108" "1" "SITTING" "fBodyAcc-mean()-Y" "-0.944084550425532"
"109" "1" "SITTING" "fBodyAcc-mean()-Z" "-0.959184889148936"
"110" "1" "SITTING" "fBodyAcc-std()-X" "-0.976412313191489"
"111" "1" "SITTING" "fBodyAcc-std()-Y" "-0.917275006382979"
"112" "1" "SITTING" "fBodyAcc-std()-Z" "-0.934469558085106"
"113" "1" "SITTING" "fBodyAccJerk-mean()-X" "-0.986597022553191"
"114" "1" "SITTING" "fBodyAccJerk-mean()-Y" "-0.981579467021277"
"115" "1" "SITTING" "fBodyAccJerk-mean()-Z" "-0.986053092340425"
"116" "1" "SITTING" "fBodyAccJerk-std()-X" "-0.987492994468085"
"117" "1" "SITTING" "fBodyAccJerk-std()-Y" "-0.982513909574468"
"118" "1" "SITTING" "fBodyAccJerk-std()-Z" "-0.988339184893617"
"119" "1" "SITTING" "fBodyGyro-mean()-X" "-0.976161464042553"
"120" "1" "SITTING" "fBodyGyro-mean()-Y" "-0.975838585319149"
"121" "1" "SITTING" "fBodyGyro-mean()-Z" "-0.951315544468085"
"122" "1" "SITTING" "fBodyGyro-std()-X" "-0.977904227021277"
"123" "1" "SITTING" "fBodyGyro-std()-Y" "-0.962345042553192"
"124" "1" "SITTING" "fBodyGyro-std()-Z" "-0.94391784106383"
"125" "1" "SITTING" "fBodyAccMag-mean()" "-0.947782922553192"
"126" "1" "SITTING" "fBodyAccMag-std()" "-0.928444801702128"
"127" "1" "SITTING" "fBodyBodyAccJerkMag-mean()" "-0.985262126808511"
"128" "1" "SITTING" "fBodyBodyAccJerkMag-std()" "-0.981606177446808"
"129" "1" "SITTING" "fBodyBodyGyroMag-mean()" "-0.958435589361702"
"130" "1" "SITTING" "fBodyBodyGyroMag-std()" "-0.932198374893617"
"131" "1" "SITTING" "fBodyBodyGyroJerkMag-mean()" "-0.989797547234043"
"132" "1" "SITTING" "fBodyBodyGyroJerkMag-std()" "-0.987049617234043"
"133" "1" "LAYING" "tBodyAcc-mean()-X" "0.22159824394"
"134" "1" "LAYING" "tBodyAcc-mean()-Y" "-0.0405139534294"
"135" "1" "LAYING" "tBodyAcc-mean()-Z" "-0.11320355358"
"136" "1" "LAYING" "tBodyAcc-std()-X" "-0.9280564692"
"137" "1" "LAYING" "tBodyAcc-std()-Y" "-0.83682740562"
"138" "1" "LAYING" "tBodyAcc-std()-Z" "-0.826061401628"
"139" "1" "LAYING" "tGravityAcc-mean()-X" "-0.24888179828"
"140" "1" "LAYING" "tGravityAcc-mean()-Y" "0.70554977346"
"141" "1" "LAYING" "tGravityAcc-mean()-Z" "0.4458177198"
"142" "1" "LAYING" "tGravityAcc-std()-X" "-0.8968300184"
"143" "1" "LAYING" "tGravityAcc-std()-Y" "-0.90772000676"
"144" "1" "LAYING" "tGravityAcc-std()-Z" "-0.85236629022"
"145" "1" "LAYING" "tBodyAccJerk-mean()-X" "0.0810865342"
"146" "1" "LAYING" "tBodyAccJerk-mean()-Y" "0.0038382040088"
"147" "1" "LAYING" "tBodyAccJerk-mean()-Z" "0.010834236361"
"148" "1" "LAYING" "tBodyAccJerk-std()-X" "-0.958482112"
"149" "1" "LAYING" "tBodyAccJerk-std()-Y" "-0.9241492736"
"150" "1" "LAYING" "tBodyAccJerk-std()-Z" "-0.9548551108"
"151" "1" "LAYING" "tBodyGyro-mean()-X" "-0.016553093978"
"152" "1" "LAYING" "tBodyGyro-mean()-Y" "-0.064486124088"
"153" "1" "LAYING" "tBodyGyro-mean()-Z" "0.14868943626"
"154" "1" "LAYING" "tBodyGyro-std()-X" "-0.87354386782"
"155" "1" "LAYING" "tBodyGyro-std()-Y" "-0.9510904402"
"156" "1" "LAYING" "tBodyGyro-std()-Z" "-0.9082846626"
"157" "1" "LAYING" "tBodyGyroJerk-mean()-X" "-0.107270949192"
"158" "1" "LAYING" "tBodyGyroJerk-mean()-Y" "-0.04151728689"
"159" "1" "LAYING" "tBodyGyroJerk-mean()-Z" "-0.0740501211"
"160" "1" "LAYING" "tBodyGyroJerk-std()-X" "-0.9186085208"
"161" "1" "LAYING" "tBodyGyroJerk-std()-Y" "-0.9679072436"
"162" "1" "LAYING" "tBodyGyroJerk-std()-Z" "-0.9577901596"
"163" "1" "LAYING" "tBodyAccMag-mean()" "-0.8419291525"
"164" "1" "LAYING" "tBodyAccMag-std()" "-0.79514486386"
"165" "1" "LAYING" "tGravityAccMag-mean()" "-0.8419291525"
"166" "1" "LAYING" "tGravityAccMag-std()" "-0.79514486386"
"167" "1" "LAYING" "tBodyAccJerkMag-mean()" "-0.9543962646"
"168" "1" "LAYING" "tBodyAccJerkMag-std()" "-0.9282456284"
"169" "1" "LAYING" "tBodyGyroMag-mean()" "-0.874759548"
"170" "1" "LAYING" "tBodyGyroMag-std()" "-0.81901016976"
"171" "1" "LAYING" "tBodyGyroJerkMag-mean()" "-0.96346103"
"172" "1" "LAYING" "tBodyGyroJerkMag-std()" "-0.9358409828"
"173" "1" "LAYING" "fBodyAcc-mean()-X" "-0.9390990524"
"174" "1" "LAYING" "fBodyAcc-mean()-Y" "-0.86706520518"
"175" "1" "LAYING" "fBodyAcc-mean()-Z" "-0.8826668762"
"176" "1" "LAYING" "fBodyAcc-std()-X" "-0.9244374346"
"177" "1" "LAYING" "fBodyAcc-std()-Y" "-0.8336255561"
"178" "1" "LAYING" "fBodyAcc-std()-Z" "-0.81289155944"
"179" "1" "LAYING" "fBodyAccJerk-mean()-X" "-0.9570738838"
"180" "1" "LAYING" "fBodyAccJerk-mean()-Y" "-0.9224626098"
"181" "1" "LAYING" "fBodyAccJerk-mean()-Z" "-0.9480609042"
"182" "1" "LAYING" "fBodyAccJerk-std()-X" "-0.9641607086"
"183" "1" "LAYING" "fBodyAccJerk-std()-Y" "-0.9322178704"
"184" "1" "LAYING" "fBodyAccJerk-std()-Z" "-0.9605869872"
"185" "1" "LAYING" "fBodyGyro-mean()-X" "-0.850249174586"
"186" "1" "LAYING" "fBodyGyro-mean()-Y" "-0.9521914948"
"187" "1" "LAYING" "fBodyGyro-mean()-Z" "-0.909302721"
"188" "1" "LAYING" "fBodyGyro-std()-X" "-0.8822964508"
"189" "1" "LAYING" "fBodyGyro-std()-Y" "-0.9512320494"
"190" "1" "LAYING" "fBodyGyro-std()-Z" "-0.9165825082"
"191" "1" "LAYING" "fBodyAccMag-mean()" "-0.8617676481"
"192" "1" "LAYING" "fBodyAccMag-std()" "-0.7983009404"
"193" "1" "LAYING" "fBodyBodyAccJerkMag-mean()" "-0.9333003608"
"194" "1" "LAYING" "fBodyBodyAccJerkMag-std()" "-0.9218039756"
"195" "1" "LAYING" "fBodyBodyGyroMag-mean()" "-0.8621901854"
"196" "1" "LAYING" "fBodyBodyGyroMag-std()" "-0.82431943968"
"197" "1" "LAYING" "fBodyBodyGyroJerkMag-mean()" "-0.9423669466"
"198" "1" "LAYING" "fBodyBodyGyroJerkMag-std()" "-0.9326606676"
"199" "1" "WALKING" "tBodyAcc-mean()-X" "0.277330758736842"
"200" "1" "WALKING" "tBodyAcc-mean()-Y" "-0.0173838185273684"
"201" "1" "WALKING" "tBodyAcc-mean()-Z" "-0.111148103547368"
"202" "1" "WALKING" "tBodyAcc-std()-X" "-0.283740258842105"
"203" "1" "WALKING" "tBodyAcc-std()-Y" "0.114461336747368"
"204" "1" "WALKING" "tBodyAcc-std()-Z" "-0.260027902210526"
"205" "1" "WALKING" "tGravityAcc-mean()-X" "0.935223201473684"
"206" "1" "WALKING" "tGravityAcc-mean()-Y" "-0.282165021263158"
"207" "1" "WALKING" "tGravityAcc-mean()-Z" "-0.068102864"
"208" "1" "WALKING" "tGravityAcc-std()-X" "-0.976609642526316"
"209" "1" "WALKING" "tGravityAcc-std()-Y" "-0.971305961473684"
"210" "1" "WALKING" "tGravityAcc-std()-Z" "-0.947717226105263"
"211" "1" "WALKING" "tBodyAccJerk-mean()-X" "0.0740416333157895"
"212" "1" "WALKING" "tBodyAccJerk-mean()-Y" "0.0282721095884211"
"213" "1" "WALKING" "tBodyAccJerk-mean()-Z" "-0.00416840617789474"
"214" "1" "WALKING" "tBodyAccJerk-std()-X" "-0.113615602435789"
"215" "1" "WALKING" "tBodyAccJerk-std()-Y" "0.0670025007684211"
"216" "1" "WALKING" "tBodyAccJerk-std()-Z" "-0.502699788526316"
"217" "1" "WALKING" "tBodyGyro-mean()-X" "-0.041830963526"
"218" "1" "WALKING" "tBodyGyro-mean()-Y" "-0.0695300462115789"
"219" "1" "WALKING" "tBodyGyro-mean()-Z" "0.0849448173042105"
"220" "1" "WALKING" "tBodyGyro-std()-X" "-0.473535485894737"
"221" "1" "WALKING" "tBodyGyro-std()-Y" "-0.0546077686594737"
"222" "1" "WALKING" "tBodyGyro-std()-Z" "-0.344266629473684"
"223" "1" "WALKING" "tBodyGyroJerk-mean()-X" "-0.0899975423705263"
"224" "1" "WALKING" "tBodyGyroJerk-mean()-Y" "-0.0398428709463158"
"225" "1" "WALKING" "tBodyGyroJerk-mean()-Z" "-0.0461309295021053"
"226" "1" "WALKING" "tBodyGyroJerk-std()-X" "-0.207421854757895"
"227" "1" "WALKING" "tBodyGyroJerk-std()-Y" "-0.304468510631579"
"228" "1" "WALKING" "tBodyGyroJerk-std()-Z" "-0.404255452631579"
"229" "1" "WALKING" "tBodyAccMag-mean()" "-0.136971176556842"
"230" "1" "WALKING" "tBodyAccMag-std()" "-0.219688645631579"
"231" "1" "WALKING" "tGravityAccMag-mean()" "-0.136971176556842"
"232" "1" "WALKING" "tGravityAccMag-std()" "-0.219688645631579"
"233" "1" "WALKING" "tBodyAccJerkMag-mean()" "-0.141428809031579"
"234" "1" "WALKING" "tBodyAccJerkMag-std()" "-0.0744717500625263"
"235" "1" "WALKING" "tBodyGyroMag-mean()" "-0.160979552536842"
"236" "1" "WALKING" "tBodyGyroMag-std()" "-0.186978364526316"
"237" "1" "WALKING" "tBodyGyroJerkMag-mean()" "-0.298703679084211"
"238" "1" "WALKING" "tBodyGyroJerkMag-std()" "-0.325324878894737"
"239" "1" "WALKING" "fBodyAcc-mean()-X" "-0.202794306326316"
"240" "1" "WALKING" "fBodyAcc-mean()-Y" "0.0897127264021053"
"241" "1" "WALKING" "fBodyAcc-mean()-Z" "-0.331560117789474"
"242" "1" "WALKING" "fBodyAcc-std()-X" "-0.319134719578947"
"243" "1" "WALKING" "fBodyAcc-std()-Y" "0.056040006846"
"244" "1" "WALKING" "fBodyAcc-std()-Z" "-0.279686751494737"
"245" "1" "WALKING" "fBodyAccJerk-mean()-X" "-0.170546964549579"
"246" "1" "WALKING" "fBodyAccJerk-mean()-Y" "-0.0352255241130632"
"247" "1" "WALKING" "fBodyAccJerk-mean()-Z" "-0.468999224631579"
"248" "1" "WALKING" "fBodyAccJerk-std()-X" "-0.133586606326316"
"249" "1" "WALKING" "fBodyAccJerk-std()-Y" "0.106739857136"
"250" "1" "WALKING" "fBodyAccJerk-std()-Z" "-0.534713440421053"
"251" "1" "WALKING" "fBodyGyro-mean()-X" "-0.339032197115789"
"252" "1" "WALKING" "fBodyGyro-mean()-Y" "-0.103059416434737"
"253" "1" "WALKING" "fBodyGyro-mean()-Z" "-0.255940940315789"
"254" "1" "WALKING" "fBodyGyro-std()-X" "-0.516691938736842"
"255" "1" "WALKING" "fBodyGyro-std()-Y" "-0.0335081597884211"
"256" "1" "WALKING" "fBodyGyro-std()-Z" "-0.436562227473684"
"257" "1" "WALKING" "fBodyAccMag-mean()" "-0.128623450629474"
"258" "1" "WALKING" "fBodyAccMag-std()" "-0.398032586842105"
"259" "1" "WALKING" "fBodyBodyAccJerkMag-mean()" "-0.0571194000343158"
"260" "1" "WALKING" "fBodyBodyAccJerkMag-std()" "-0.103492403002105"
"261" "1" "WALKING" "fBodyBodyGyroMag-mean()" "-0.199252568986316"
"262" "1" "WALKING" "fBodyBodyGyroMag-std()" "-0.321017953894737"
"263" "1" "WALKING" "fBodyBodyGyroJerkMag-mean()" "-0.319308593778947"
"264" "1" "WALKING" "fBodyBodyGyroJerkMag-std()" "-0.381601911789474"
"265" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" "0.289188320408163"
"266" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" "-0.00991850461020408"
"267" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" "-0.107566190908163"
"268" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" "0.0300353383483878"
"269" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" "-0.0319359434489796"
"270" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" "-0.230434213204082"
"271" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" "0.931874418979592"
"272" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" "-0.266610338979592"
"273" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" "-0.0621199585938775"
"274" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" "-0.950559811632653"
"275" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" "-0.937018658979592"
"276" "1" "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" "-0.895939695102041"
"277" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" "0.0541553164897959"
"278" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" "0.0296504490408163"
"279" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" "-0.0109719730183673"
"280" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" "-0.012283860544898"
"281" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" "-0.101601390640816"
"282" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" "-0.345735032326531"
"283" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" "-0.0350781902989796"
"284" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" "-0.0909371290204082"
"285" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" "0.0900850142030612"
"286" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-std()-X" "-0.458030542938775"
"287" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Y" "-0.126349194938775"
"288" "1" "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Z" "-0.124702454242857"
"289" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" "-0.0739592036271429"
"290" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" "-0.0439902783367347"
"291" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" "-0.0270461061061224"
"292" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-X" "-0.487027342244898"
"293" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Y" "-0.238824827530612"
"294" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Z" "-0.268761480242857"
"295" "1" "WALKING_DOWNSTAIRS" "tBodyAccMag-mean()" "0.0271882914106122"
"296" "1" "WALKING_DOWNSTAIRS" "tBodyAccMag-std()" "0.0198843506265306"
"297" "1" "WALKING_DOWNSTAIRS" "tGravityAccMag-mean()" "0.0271882914106122"
"298" "1" "WALKING_DOWNSTAIRS" "tGravityAccMag-std()" "0.0198843506265306"
"299" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-mean()" "-0.0894474807979592"
"300" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-std()" "-0.0257877197081633"
"301" "1" "WALKING_DOWNSTAIRS" "tBodyGyroMag-mean()" "-0.0757412543673469"
"302" "1" "WALKING_DOWNSTAIRS" "tBodyGyroMag-std()" "-0.225724368061224"
"303" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-mean()" "-0.295463843346939"
"304" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-std()" "-0.306510645530612"
"305" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-X" "0.0382291831510204"
"306" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Y" "0.00154990783591837"
"307" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Z" "-0.225574471693878"
"308" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-X" "0.0243308391387755"
"309" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Y" "-0.112963739953061"
"310" "1" "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Z" "-0.297927894693878"
"311" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-X" "-0.0276638676122449"
"312" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Y" "-0.12866715764898"
"313" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Z" "-0.288334735714286"
"314" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-X" "-0.0863278966402041"
"315" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Y" "-0.134580008877551"
"316" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Z" "-0.401721464285714"
"317" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-X" "-0.352449631363265"
"318" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Y" "-0.0557022524693878"
"319" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Z" "-0.0318694271979592"
"320" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-std()-X" "-0.495422486102041"
"321" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Y" "-0.181414728657143"
"322" "1" "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Z" "-0.238443565306122"
"323" "1" "WALKING_DOWNSTAIRS" "fBodyAccMag-mean()" "0.0965845343040816"
"324" "1" "WALKING_DOWNSTAIRS" "fBodyAccMag-std()" "-0.186530301073469"
"325" "1" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-mean()" "0.0262184949326531"
"326" "1" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-std()" "-0.104052260726531"
"327" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-mean()" "-0.185720285744898"
"328" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-std()" "-0.398350390122449"
"329" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-mean()" "-0.281963359177551"
"330" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-std()" "-0.391919876612245"
"331" "1" "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" "0.255461689622641"
"332" "1" "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" "-0.0239531492643396"
"333" "1" "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" "-0.0973020020943396"
"334" "1" "WALKING_UPSTAIRS" "tBodyAcc-std()-X" "-0.35470802509434"
"335" "1" "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" "-0.00232026501698113"
"336" "1" "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" "-0.0194792388471698"
"337" "1" "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" "0.89335109754717"
"338" "1" "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" "-0.362153364339623"
